customer_id,name,email,join_date,total_spent
1,James Maxwell,barrettrichard@gmail.com,2023-12-04,3407.38
2,Katie Acosta,gomezlori@harris.com,2023-03-23,7476.98
3,Brian Robinson,mathewsmegan@gmail.com,2022-10-09,9862.22
4,Michael Hull,teresamays@williams.net,2023-11-14,5509.02
5,Courtney Russell,timothywalter@yahoo.com,2022-12-19,4651.75
6,Jay Whitney,justinperkins@gmail.com,2023-06-16,170.96
7,Denise Stanton,barbaraleon@gmail.com,2023-09-22,2991.25
8,Anthony Cruz,johnsonmaria@payne.org,2023-10-26,9220.53
9,Stephen Miller,franklintyler@hotmail.com,2023-09-09,6541.48
10,Zachary Rogers,brandi79@zamora-moore.com,2024-02-28,7622.51
11,Amanda Green DDS,djones@foster.org,2023-11-07,3440.46
12,Lisa Herrera,mendezkenneth@church-moore.biz,2024-02-24,4972.83
13,Alexander Ritter,bclark@yahoo.com,2022-12-08,4119.93
14,Nathan Pearson,velazquezphilip@hotmail.com,2022-11-23,3257.74
15,Randall Christensen,clarkchristian@yahoo.com,2023-07-12,687.37
16,Michael Simpson,annapena@murphy.com,2023-09-27,5999.99
17,Joanna Anderson,sherrihill@gmail.com,2022-09-07,8591.27
18,Andrew Graham,susanjohnson@lynch-fowler.com,2023-02-08,5761.67
19,Carrie Allen,iklein@williams.com,2024-05-06,7087.87
20,Allison Nichols,adamsmelinda@gmail.com,2024-03-01,6510.26
21,Donald Mills,haleyhodges@gmail.com,2022-10-27,1702.28
22,Andrew Bryant,molinacarla@hotmail.com,2023-05-21,9467.33
23,Matthew Long,ecook@guerrero-perez.biz,2024-04-16,1005.16
24,Teresa White,fli@hotmail.com,2023-10-26,7692.37
25,Tami Brown,ejohnson@avila-lopez.com,2023-01-30,7696.15
26,Roberta Singh,mjohns@holland.biz,2023-02-13,1225.24
27,Eric Little,elizabethlewis@sawyer-barber.org,2022-08-26,9511.26
28,Tracy Burton,autumngarcia@hotmail.com,2024-02-18,3100.2
29,Jeffrey Thompson,bowmankimberly@white-kennedy.com,2023-06-26,6701.14
30,Melissa Sheppard,milescarmen@flores-martinez.net,2023-09-30,3154.05
31,Brian Perkins,claytonmartha@johnson-phillips.org,2023-01-03,7422.61
32,Michael Boyd,heather58@hotmail.com,2023-10-12,1514.41
33,Ricky Mcdonald,welchjoseph@jackson-ibarra.com,2023-01-30,4727.19
34,Brett Williamson,gabriellecarter@yahoo.com,2022-09-22,9918.07
35,Evelyn Jackson,fjackson@diaz-gentry.com,2024-04-01,379.77
36,Charles Bowen,hbrown@riddle.info,2024-01-24,9146.26
37,Monica Rodriguez,jillwalton@gmail.com,2023-11-01,4099.53
38,Lisa Carter,jennifer03@smith.com,2022-08-19,5459.81
39,Amber Shields,clarkgina@anderson.com,2022-11-01,2985.76
40,Brenda Johnson,bcampbell@gmail.com,2024-02-15,3449.72
41,Derek Nixon,gregg92@porter-cervantes.com,2024-02-03,7997.34
42,Douglas Lewis,tuckerkeith@meadows.com,2022-08-06,9581.93
43,Tara Walls,marymurray@yahoo.com,2023-12-30,965.74
44,Karen Mclean MD,anna07@hotmail.com,2024-05-25,8431.6
45,Veronica Turner,guzmanrobert@yahoo.com,2022-10-18,2991.89
46,Vanessa Cherry,wrightrichard@hotmail.com,2023-08-29,763.94
47,Joshua Miller,vdennis@yahoo.com,2024-03-24,5525.75
48,Jonathan Martin,rodneyreed@gmail.com,2023-07-26,998.17
49,Kevin Hamilton,potteremily@gmail.com,2024-01-12,6584.1
50,Kelly Foster,dennis21@hotmail.com,2023-07-21,2529.48
51,Jamie Lucas,jared52@hotmail.com,2023-06-02,7711.46
52,Kathy Carter,renee89@hansen.com,2024-06-11,978.64
53,Rebecca Meza,danielberry@hotmail.com,2023-01-07,1131.04
54,Lori Hall,vbarrett@ramirez.net,2022-11-16,4162.75
55,Tyler Oneill,estestyler@yahoo.com,2022-11-17,5754.28
56,Teresa Gonzales,smithjessica@hotmail.com,2024-06-04,6415.97
57,Tyler Burns,jeremywalker@nguyen-harrison.com,2023-10-25,4143.46
58,Jeanne Crane,gabrielleevans@hotmail.com,2023-05-22,8885.09
59,Tonya Alexander,jbennett@williams.net,2022-12-29,2737.98
60,Marc Hanson,michaelbrown@gmail.com,2023-12-24,8153.83
61,Kimberly Maxwell,ashley42@yahoo.com,2022-10-17,9182.6
62,Jennifer Mills,nmunoz@nelson-smith.org,2024-03-02,9244.17
63,Gregory Johnson,fordbrandi@conner.com,2024-03-23,5631.33
64,Travis Freeman,udavis@gmail.com,2022-11-12,9596.59
65,Thomas Moss,michellelee@hotmail.com,2023-11-15,454.7
66,Rhonda Lynch,philip69@lopez-molina.com,2023-05-22,1438.75
67,Julia Sanders,brenda68@gmail.com,2022-10-26,7705.33
